Name:label	Nobel year	Domain	Born	Died	Born_Town	Born_Lat_Long	imageURL
Jacobus Henricus van 't Hoff	1901	Chemistry	1852-08-30	1911-03-01	Rotterdam	51.55,4.30	http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1901/hoff_thumb.jpg
Hermann Emil Fischer 	1902	Chemistry	1852-10-09	1919-07-15	Euskirchen	50.10,6.47	http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1902/fischer_thumb.jpg
Svante August Arrhenius 	1903	Chemistry	1859-02-19	1927-10-02	Vik	55.37,14.16	http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1903/arrhenius_thumb.jpg
Sir William Ramsay 	1904	Chemistry	1852-10-02	1916-07-23	Glasgow	55.50,-4.15	http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1904/ramsay_thumb.jpg
Johann Friedrich Wilhelm Adolf von Baeyer 	1905	Chemistry	1835-10-31	1917-08-20	Berlin	52.30,13.25	http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1905/baeyer_thumb.jpg
Wilhelm Conrad Röntgen	1901	Physics	1845-03-27	1923-02-10	Remscheid	51.18,7.2	http://www.nobelprize.org/nobel_prizes/physics/laureates/1901/rontgen_thumb.jpg
Pieter Zeeman	1902	Physics	1865-05-25	1943-10-09	Zonnemaire	51.71,3.95	http://www.nobelprize.org/nobel_prizes/physics/laureates/1902/zeeman_thumb.jpg
Hendrik Antoon Lorentz 	1902	Physics	1853-07-18	1928-02-04	Arnhem	51.97,5.91	http://www.nobelprize.org/nobel_prizes/physics/laureates/1902/lorentz_thumb.jpg
Marie Curie 	1903	Physics	1867-11-07	1934-07-04	Warsaw	52.23,21.01	http://www.nobelprize.org/nobel_prizes/physics/laureates/1903/marie-curie_thumb.jpg
Pierre Curie	1903	Physics	1859-05-15	1906-04-19	Paris	48.85,2.35	http://www.nobelprize.org/nobel_prizes/physics/laureates/1903/pierre-curie_thumb.jpg
Antoine Henri Becquerel	1903	Physics	1852-12-15	1908-08-25	Paris	48.85,2.35	http://www.nobelprize.org/nobel_prizes/physics/laureates/1903/becquerel_thumb.jpg
John William Strutt	1904	Physics	1842-11-12	1919-06-30	Langford Grove	51.76,0.67	http://www.nobelprize.org/nobel_prizes/physics/laureates/1904/strutt_thumb.jpg
Philipp Eduard Anton von Lenard 	1905	Physics	1862-06-07	1947-05-20	Bratislava	48.14,17.10	http://www.nobelprize.org/nobel_prizes/physics/laureates/1905/lenard_thumb.jpg

